,0,1,2,3,4
Coherentes,0.034,0.049,0.047,0.037,0.043
Incoherentes,0.015,0.022,0.04,0.029,0.046
Indiferentes,0.001,0.001,0.0,0.0,0.001
Tibios,0.009,0.004,0.011,0.009,0.006
