,0,1,2,3,4
Coherentes,0.059,0.043,0.039,0.046,0.048
Incoherentes,0.043,0.042,0.039,0.028,0.034
Indiferentes,0.0,0.001,0.001,0.0,0.001
Tibios,0.009,0.011,0.005,0.013,0.012
