,0,1,2,3,4
Coherentes,0.043,0.063,0.053,0.06,0.061
Incoherentes,0.027,0.036,0.022,0.019,0.028
Indiferentes,0.0,0.002,0.001,0.0,0.003
Tibios,0.011,0.007,0.006,0.0,0.007
