,0,1,2,3,4
Coherentes,0.025,0.036,0.034,0.03,0.032
Incoherentes,0.025,0.024,0.032,0.037,0.026
Indiferentes,0.001,0.0,0.0,0.0,0.003
Tibios,0.007,0.011,0.009,0.007,0.008
