,0,1,2,3,4
Coherentes,0.042,0.037,0.039,0.049,0.045
Incoherentes,0.034,0.022,0.03,0.037,0.035
Indiferentes,0.001,0.0,0.0,0.0,0.001
Tibios,0.008,0.009,0.011,0.012,0.006
