,0,1,2,3,4
Coherentes,0.031,0.054,0.026,0.048,0.045
Incoherentes,0.012,0.04,0.025,0.034,0.037
Indiferentes,0.0,0.001,0.001,0.001,0.0
Tibios,0.007,0.004,0.008,0.012,0.009
