,0,1,2,3,4
Coherentes,0.054,0.047,0.066,0.05,0.058
Incoherentes,0.03,0.04,0.034,0.023,0.024
Indiferentes,0.0,0.003,0.001,0.001,0.001
Tibios,0.006,0.004,0.005,0.008,0.005
