,0,1,2,3,4
Coherentes,0.037,0.073,0.057,0.05,0.057
Incoherentes,0.02,0.037,0.033,0.023,0.027
Indiferentes,0.0,0.003,0.001,0.001,0.001
Tibios,0.012,0.009,0.003,0.01,0.011
