,0,1,2,3,4
Coherentes,0.045,0.035,0.037,0.036,0.039
Incoherentes,0.043,0.016,0.024,0.029,0.027
Indiferentes,0.001,0.001,0.0,0.002,0.002
Tibios,0.012,0.004,0.01,0.005,0.008
