,0,1,2,3,4
Coherentes,0.035,0.043,0.029,0.038,0.035
Incoherentes,0.03,0.045,0.034,0.027,0.037
Indiferentes,0.004,0.0,0.0,0.0,0.0
Tibios,0.006,0.011,0.006,0.013,0.004
