,0,1,2,3,4
Coherentes,0.041,0.042,0.045,0.034,0.041
Incoherentes,0.034,0.041,0.015,0.038,0.055
Indiferentes,0.001,0.0,0.0,0.0,0.0
Tibios,0.005,0.008,0.007,0.006,0.014
