,0,1,2,3,4
Coherentes,0.038,0.026,0.034,0.047,0.039
Incoherentes,0.025,0.033,0.025,0.035,0.033
Indiferentes,0.0,0.0,0.0,0.002,0.0
Tibios,0.004,0.007,0.01,0.016,0.008
