,0,1,2,3,4
Coherentes,0.036,0.032,0.024,0.028,0.03
Incoherentes,0.028,0.031,0.047,0.019,0.021
Indiferentes,0.003,0.002,0.0,0.001,0.003
Tibios,0.007,0.01,0.014,0.006,0.009
