,0,1,2,3,4
Coherentes,0.05,0.036,0.064,0.045,0.046
Incoherentes,0.032,0.022,0.022,0.023,0.03
Indiferentes,0.002,0.001,0.0,0.001,0.002
Tibios,0.006,0.008,0.013,0.005,0.002
