,0,1,2,3,4
Coherentes,0.05,0.032,0.03,0.031,0.055
Incoherentes,0.049,0.028,0.027,0.028,0.022
Indiferentes,0.001,0.0,0.0,0.001,0.0
Tibios,0.005,0.007,0.01,0.011,0.008
