,0,1,2,3,4
Coherentes,0.029,0.035,0.048,0.042,0.045
Incoherentes,0.017,0.029,0.024,0.037,0.025
Indiferentes,0.001,0.0,0.002,0.0,0.0
Tibios,0.008,0.008,0.006,0.007,0.01
