,0,1,2,3,4
Coherentes,0.037,0.039,0.049,0.041,0.048
Incoherentes,0.034,0.032,0.029,0.024,0.032
Indiferentes,0.0,0.0,0.0,0.0,0.0
Tibios,0.014,0.012,0.008,0.005,0.008
