,0,1,2,3,4
Coherentes,0.044,0.033,0.038,0.041,0.033
Incoherentes,0.04,0.044,0.017,0.035,0.037
Indiferentes,0.001,0.002,0.0,0.003,0.0
Tibios,0.005,0.008,0.01,0.004,0.007
