,0,1,2,3,4
Coherentes,0.036,0.038,0.026,0.037,0.035
Incoherentes,0.035,0.037,0.02,0.041,0.035
Indiferentes,0.001,0.001,0.0,0.002,0.001
Tibios,0.007,0.01,0.006,0.006,0.008
