,0,1,2,3,4
Coherentes,0.057,0.048,0.05,0.046,0.036
Incoherentes,0.03,0.022,0.014,0.037,0.013
Indiferentes,0.001,0.001,0.001,0.0,0.0
Tibios,0.009,0.004,0.01,0.007,0.01
