,0,1,2,3,4
Coherentes,0.04,0.032,0.042,0.035,0.03
Incoherentes,0.02,0.036,0.037,0.028,0.034
Indiferentes,0.0,0.0,0.003,0.002,0.001
Tibios,0.01,0.011,0.005,0.006,0.006
