,0,1,2,3,4
Coherentes,0.038,0.036,0.045,0.045,0.036
Incoherentes,0.031,0.016,0.035,0.032,0.023
Indiferentes,0.0,0.0,0.004,0.0,0.001
Tibios,0.005,0.01,0.009,0.006,0.009
