,0,1,2,3,4
Coherentes,0.045,0.044,0.039,0.035,0.037
Incoherentes,0.036,0.023,0.033,0.025,0.018
Indiferentes,0.0,0.0,0.0,0.001,0.002
Tibios,0.012,0.007,0.006,0.002,0.011
