,0,1,2,3,4
Coherentes,0.028,0.034,0.041,0.047,0.033
Incoherentes,0.022,0.022,0.016,0.025,0.028
Indiferentes,0.0,0.001,0.001,0.0,0.0
Tibios,0.004,0.009,0.002,0.003,0.01
