,0,1,2,3,4
Coherentes,0.036,0.046,0.046,0.045,0.048
Incoherentes,0.022,0.016,0.026,0.037,0.025
Indiferentes,0.001,0.004,0.001,0.002,0.001
Tibios,0.006,0.008,0.006,0.005,0.002
