,0,1,2,3,4
Coherentes,0.046,0.041,0.044,0.045,0.037
Incoherentes,0.035,0.031,0.029,0.033,0.035
Indiferentes,0.0,0.001,0.003,0.0,0.0
Tibios,0.007,0.003,0.004,0.009,0.009
