,0,1,2,3,4
Coherentes,0.029,0.034,0.046,0.039,0.029
Incoherentes,0.046,0.037,0.028,0.038,0.034
Indiferentes,0.004,0.0,0.0,0.001,0.001
Tibios,0.009,0.004,0.008,0.007,0.001
