,0,1,2,3,4
Coherentes,0.045,0.038,0.034,0.04,0.055
Incoherentes,0.031,0.029,0.025,0.034,0.04
Indiferentes,0.0,0.0,0.001,0.001,0.001
Tibios,0.01,0.004,0.007,0.007,0.008
