,0,1,2,3,4
Coherentes,0.043,0.045,0.033,0.047,0.043
Incoherentes,0.032,0.051,0.022,0.034,0.025
Indiferentes,0.0,0.0,0.001,0.002,0.0
Tibios,0.007,0.006,0.007,0.009,0.013
