,0,1,2,3,4
Coherentes,0.061,0.052,0.041,0.041,0.035
Incoherentes,0.045,0.044,0.024,0.045,0.039
Indiferentes,0.001,0.001,0.003,0.002,0.0
Tibios,0.009,0.006,0.01,0.003,0.014
