,0,1,2,3,4
Coherentes,0.047,0.042,0.038,0.05,0.048
Incoherentes,0.02,0.021,0.015,0.025,0.043
Indiferentes,0.001,0.0,0.0,0.0,0.001
Tibios,0.005,0.004,0.007,0.008,0.008
