,0,1,2,3,4
Coherentes,0.049,0.045,0.035,0.036,0.044
Incoherentes,0.036,0.016,0.025,0.035,0.028
Indiferentes,0.001,0.0,0.001,0.0,0.001
Tibios,0.003,0.006,0.009,0.014,0.014
