,0,1,2,3,4
Coherentes,0.049,0.046,0.037,0.049,0.048
Incoherentes,0.038,0.027,0.015,0.038,0.036
Indiferentes,0.001,0.001,0.0,0.0,0.001
Tibios,0.011,0.007,0.002,0.009,0.008
