,0,1,2,3,4
Coherentes,0.038,0.035,0.032,0.049,0.034
Incoherentes,0.039,0.036,0.043,0.035,0.031
Indiferentes,0.001,0.003,0.003,0.001,0.0
Tibios,0.014,0.006,0.004,0.009,0.013
