,0,1,2,3,4
Coherentes,0.022,0.046,0.043,0.039,0.035
Incoherentes,0.03,0.051,0.035,0.031,0.031
Indiferentes,0.0,0.001,0.0,0.003,0.0
Tibios,0.009,0.009,0.002,0.003,0.005
