,0,1,2,3,4
Coherentes,0.045,0.042,0.035,0.036,0.035
Incoherentes,0.035,0.038,0.028,0.024,0.029
Indiferentes,0.004,0.0,0.0,0.002,0.0
Tibios,0.007,0.004,0.007,0.008,0.011
