,0,1,2,3,4
Coherentes,0.043,0.051,0.042,0.04,0.048
Incoherentes,0.037,0.028,0.033,0.027,0.045
Indiferentes,0.0,0.0,0.001,0.001,0.0
Tibios,0.008,0.012,0.014,0.011,0.005
