,0,1,2,3,4
Coherentes,0.046,0.031,0.038,0.043,0.037
Incoherentes,0.037,0.023,0.027,0.021,0.022
Indiferentes,0.0,0.0,0.001,0.0,0.0
Tibios,0.008,0.006,0.009,0.008,0.01
