,0,1,2,3,4
Coherentes,0.038,0.035,0.05,0.03,0.033
Incoherentes,0.034,0.035,0.054,0.026,0.031
Indiferentes,0.001,0.0,0.0,0.002,0.001
Tibios,0.01,0.009,0.011,0.005,0.011
