,0,1,2,3,4
Coherentes,0.041,0.04,0.047,0.036,0.041
Incoherentes,0.021,0.018,0.032,0.04,0.053
Indiferentes,0.0,0.0,0.0,0.001,0.002
Tibios,0.009,0.011,0.005,0.008,0.009
