,0,1,2,3,4
Coherentes,0.043,0.043,0.044,0.061,0.055
Incoherentes,0.054,0.04,0.05,0.04,0.045
Indiferentes,0.001,0.0,0.0,0.002,0.002
Tibios,0.012,0.011,0.013,0.007,0.018
