,0,1,2,3,4
Coherentes,0.027,0.04,0.046,0.032,0.038
Incoherentes,0.021,0.027,0.037,0.035,0.038
Indiferentes,0.0,0.001,0.001,0.0,0.0
Tibios,0.005,0.012,0.006,0.007,0.004
