,0,1,2,3,4
Coherentes,0.027,0.048,0.053,0.041,0.05
Incoherentes,0.027,0.029,0.027,0.028,0.028
Indiferentes,0.001,0.0,0.002,0.0,0.001
Tibios,0.01,0.005,0.004,0.006,0.012
