,0,1,2,3,4
Coherentes,0.034,0.039,0.038,0.038,0.044
Incoherentes,0.017,0.017,0.038,0.037,0.033
Indiferentes,0.003,0.001,0.0,0.002,0.0
Tibios,0.004,0.003,0.013,0.006,0.009
