,0,1,2,3,4
Coherentes,0.046,0.043,0.042,0.036,0.048
Incoherentes,0.022,0.04,0.031,0.021,0.025
Indiferentes,0.0,0.004,0.0,0.001,0.002
Tibios,0.005,0.002,0.01,0.005,0.008
