,0,1,2,3,4
Coherentes,0.034,0.045,0.037,0.031,0.049
Incoherentes,0.03,0.027,0.036,0.025,0.028
Indiferentes,0.0,0.001,0.001,0.0,0.001
Tibios,0.007,0.004,0.006,0.006,0.006
