,0,1,2,3,4
Coherentes,0.039,0.033,0.047,0.048,0.04
Incoherentes,0.049,0.04,0.027,0.039,0.038
Indiferentes,0.0,0.0,0.003,0.002,0.0
Tibios,0.012,0.01,0.009,0.007,0.011
