,0,1,2,3,4
Coherentes,0.023,0.039,0.03,0.036,0.049
Incoherentes,0.013,0.042,0.027,0.041,0.025
Indiferentes,0.001,0.001,0.0,0.0,0.0
Tibios,0.007,0.003,0.003,0.005,0.011
