,0,1,2,3,4
Coherentes,0.038,0.037,0.031,0.04,0.04
Incoherentes,0.034,0.028,0.038,0.024,0.033
Indiferentes,0.001,0.002,0.001,0.001,0.0
Tibios,0.011,0.003,0.008,0.008,0.003
