,0,1,2,3,4
Coherentes,0.048,0.051,0.035,0.052,0.036
Incoherentes,0.028,0.029,0.026,0.025,0.015
Indiferentes,0.0,0.001,0.003,0.001,0.001
Tibios,0.008,0.008,0.007,0.001,0.01
