,0,1,2,3,4
Coherentes,0.041,0.04,0.036,0.04,0.029
Incoherentes,0.024,0.03,0.037,0.025,0.04
Indiferentes,0.002,0.001,0.001,0.0,0.001
Tibios,0.009,0.007,0.012,0.009,0.007
