,0,1,2,3,4
Coherentes,0.044,0.04,0.038,0.038,0.046
Incoherentes,0.04,0.031,0.04,0.022,0.036
Indiferentes,0.001,0.0,0.0,0.0,0.003
Tibios,0.011,0.009,0.012,0.004,0.006
