,0,1,2,3,4
Coherentes,0.027,0.032,0.047,0.051,0.04
Incoherentes,0.024,0.033,0.041,0.051,0.026
Indiferentes,0.001,0.0,0.0,0.002,0.001
Tibios,0.01,0.009,0.005,0.015,0.007
