,0,1,2,3,4
Coherentes,0.045,0.05,0.04,0.041,0.027
Incoherentes,0.033,0.037,0.027,0.032,0.044
Indiferentes,0.0,0.0,0.0,0.0,0.001
Tibios,0.004,0.006,0.008,0.008,0.006
