,0,1,2,3,4
Coherentes,0.039,0.044,0.028,0.037,0.034
Incoherentes,0.046,0.044,0.033,0.034,0.039
Indiferentes,0.002,0.0,0.001,0.001,0.0
Tibios,0.004,0.005,0.007,0.006,0.011
