,0,1,2,3,4
Coherentes,0.051,0.04,0.042,0.04,0.045
Incoherentes,0.037,0.053,0.041,0.02,0.033
Indiferentes,0.0,0.0,0.0,0.001,0.0
Tibios,0.007,0.003,0.007,0.011,0.011
