,0,1,2,3,4
Coherentes,0.043,0.04,0.043,0.041,0.052
Incoherentes,0.029,0.043,0.027,0.043,0.024
Indiferentes,0.0,0.001,0.001,0.0,0.001
Tibios,0.005,0.01,0.003,0.007,0.006
