,0,1,2,3,4
Coherentes,0.034,0.037,0.041,0.047,0.051
Incoherentes,0.043,0.034,0.04,0.024,0.03
Indiferentes,0.001,0.0,0.003,0.0,0.001
Tibios,0.012,0.008,0.005,0.007,0.01
