,0,1,2,3,4
Coherentes,0.049,0.05,0.04,0.038,0.041
Incoherentes,0.032,0.035,0.018,0.03,0.025
Indiferentes,0.0,0.001,0.001,0.002,0.0
Tibios,0.012,0.006,0.005,0.008,0.008
