,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
K,0.0,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Coherent,0.07008557069133471,0.09487706896189971,0.0765481377858047,0.08017848570009911,0.061592534290728515,0.05622356315463597,0.058422601543045946,0.047267387667610974,0.04832891029599008,0.040795948582402035,0.03776741251328818,0.037159686497016974,0.033333061223379125,0.034590611590787114,0.026605205145552636,0.027587543608633875,0.023144740984734808,0.02298761463736811,0.01921695293610364,0.014920506738573158,0.015257860557834069
Incoherent,0.07406230697438591,0.06058900749569632,0.06631884528044872,0.0560900323913542,0.044554546419855234,0.03814741556604027,0.03702908259939689,0.03556956247242141,0.0388033910114679,0.03400470458678063,0.029440361750844954,0.02986796685812915,0.025739637975317205,0.02172119583222289,0.025150161276717466,0.019358070668860944,0.018642371989507564,0.01861626843442566,0.015976269507743182,0.013342112137801515,0.014141574416737588
Apathetic,0.0738269606550546,0.0667008663051891,0.058068734640012845,0.05196250610600229,0.045457823629470144,0.04123998725951695,0.0417591700447732,0.035421652492012484,0.030471252305552612,0.03071496358190188,0.025252887113465867,0.023833183050241704,0.021453362283025783,0.02528503353858181,0.01788740869484825,0.019318319933540492,0.01702268485371631,0.01612979461029415,0.013499330018419308,0.011151326932347218,0.00881554725630571
Weak,0.12251017231712184,0.10600156453651438,0.06412811047972852,0.05475348702478147,0.03940001737042688,0.01536417000874828,0.01043655429899885,0.007660224229777086,0.0028832501301710393,0.0027614195722507457,0.0011361636599964081,0.0005438890473389735,0.00014140677897022614,0.0001005037815259212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
