,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Coherent,0.686,0.677,0.652,0.712,0.706,0.692,0.648,0.654,0.721,0.61,0.605,0.69,0.593,0.697,0.633,0.735,0.692,0.679,0.65,0.632,0.702,0.62,0.684,0.655,0.677,0.624,0.717,0.691,0.606,0.706,0.713,0.667,0.643,0.709,0.624,0.696,0.693,0.694,0.656,0.646,0.639,0.725,0.654,0.663,0.71,0.667,0.684,0.643,0.693,0.655,0.603,0.661,0.668,0.663,0.659,0.682,0.628,0.72,0.695,0.713,0.626,0.681,0.674,0.651,0.725,0.653,0.634,0.708,0.678,0.582,0.665,0.577,0.695,0.676,0.666,0.626,0.685,0.701,0.666,0.679,0.684,0.655,0.698,0.679,0.634,0.654,0.632,0.682,0.642,0.679,0.653,0.683,0.677,0.667,0.66,0.662,0.666,0.64,0.686,0.703
Incoherent,0.24,0.194,0.251,0.195,0.218,0.17,0.236,0.222,0.21,0.302,0.239,0.198,0.253,0.191,0.239,0.188,0.211,0.206,0.241,0.237,0.206,0.233,0.211,0.209,0.219,0.265,0.2,0.203,0.279,0.205,0.187,0.224,0.24,0.185,0.265,0.185,0.222,0.217,0.207,0.216,0.195,0.177,0.244,0.226,0.203,0.22,0.197,0.228,0.191,0.246,0.277,0.24,0.221,0.218,0.195,0.234,0.206,0.193,0.227,0.182,0.252,0.21,0.229,0.216,0.184,0.226,0.239,0.213,0.216,0.29,0.235,0.254,0.224,0.228,0.2,0.254,0.19,0.204,0.202,0.236,0.218,0.208,0.213,0.237,0.246,0.239,0.245,0.196,0.25,0.21,0.214,0.223,0.232,0.245,0.217,0.254,0.232,0.282,0.21,0.202
Apathetic,0.074,0.129,0.097,0.093,0.076,0.138,0.116,0.124,0.069,0.088,0.156,0.112,0.153,0.112,0.128,0.077,0.097,0.115,0.109,0.131,0.092,0.147,0.105,0.136,0.104,0.111,0.083,0.106,0.115,0.089,0.1,0.109,0.117,0.106,0.111,0.118,0.085,0.089,0.137,0.138,0.166,0.098,0.102,0.111,0.087,0.113,0.119,0.129,0.116,0.099,0.12,0.099,0.111,0.119,0.146,0.084,0.166,0.087,0.078,0.105,0.122,0.109,0.097,0.133,0.091,0.121,0.127,0.079,0.106,0.128,0.1,0.169,0.081,0.096,0.134,0.12,0.125,0.095,0.132,0.085,0.098,0.137,0.089,0.084,0.12,0.107,0.123,0.122,0.108,0.111,0.133,0.094,0.091,0.088,0.123,0.084,0.102,0.078,0.104,0.095
Weak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
