"cohProportion","cohLabel","isPol"
0.625832906201948,"cohZimmSt1Pol",1
0.633629191321499,"cohZimmSt1Pol",1
0.595611285266458,"cohZimmSt1Pol",1
0.7201540436457,"cohZimmSt1Pol",1
0.610480821177742,"cohZimmSt1Pol",1
0.6007866273353,"cohZimmSt1Pol",1
0.57243816254417,"cohZimmSt1Pol",1
0.578051087984863,"cohZimmSt1Pol",1
0.634328358208955,"cohZimmSt1Pol",1
0.523009950248756,"cohZimmSt1Pol",1
0.562430939226519,"cohZimmSt1NonPol",0
0.543236074270557,"cohZimmSt1NonPol",0
0.552713987473904,"cohZimmSt1NonPol",0
0.599104143337066,"cohZimmSt1NonPol",0
0.564761405348715,"cohZimmSt1NonPol",0
0.546680497925311,"cohZimmSt1NonPol",0
0.53329602686066,"cohZimmSt1NonPol",0
0.50296442687747,"cohZimmSt1NonPol",0
0.501604278074866,"cohZimmSt1NonPol",0
0.54954954954955,"cohZimmSt1NonPol",0
0.670886075949367,"cohZimmOnlinePolA",1
0.679012345679012,"cohZimmOnlinePolA",1
0.577464788732394,"cohZimmOnlinePolA",1
0.6625,"cohZimmOnlinePolA",1
0.641975308641975,"cohZimmOnlinePolA",1
0.594936708860759,"cohZimmOnlinePolA",1
0.585714285714286,"cohZimmOnlinePolA",1
0.628205128205128,"cohZimmOnlinePolA",1
0.65,"cohZimmOnlinePolA",1
0.680555555555556,"cohZimmOnlinePolA",1
0.691358024691358,"cohZimmOnlinePolA",1
0.658536585365854,"cohZimmOnlinePolA",1
0.514285714285714,"cohZimmOnlinePolA",1
0.472222222222222,"cohZimmOnlinePolA",1
0.75,"cohZimmOnlinePolA",1
0.684931506849315,"cohZimmOnlinePolB",1
0.625,"cohZimmOnlinePolB",1
0.747126436781609,"cohZimmOnlinePolB",1
0.646341463414634,"cohZimmOnlinePolB",1
0.67816091954023,"cohZimmOnlinePolB",1
0.527027027027027,"cohZimmOnlinePolB",1
0.693333333333333,"cohZimmOnlinePolB",1
0.478260869565217,"cohZimmOnlinePolB",1
0.5,"cohZimmOnlinePolB",1
0.617977528089888,"cohZimmOnlinePolB",1
0.662650602409639,"cohZimmOnlinePolB",1
0.696629213483146,"cohZimmOnlinePolB",1
0.698795180722892,"cohZimmOnlinePolB",1
0.681818181818182,"cohZimmOnlinePolB",1
0.75609756097561,"cohZimmOnlinePolB",1
0.577464788732394,"cohZimmOnlineHedA",0
0.565789473684211,"cohZimmOnlineHedA",0
