,0,1,2,3,4,5,6,7,8,9
Coherentes,0.665,0.678,0.665,0.659,0.664,0.662,0.658,0.68,0.664,0.671
Incoherentes,0.217,0.226,0.218,0.226,0.233,0.222,0.219,0.215,0.22,0.241
Indiferentes,0.118,0.096,0.117,0.115,0.103,0.116,0.123,0.105,0.116,0.088
Tibios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
