,0,1,2,3,4,5,6,7,8,9,10
K,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Coherentes,0.5854999999999999,0.5822499999999999,0.574,0.5740499999999998,0.56185,0.5607500000000001,0.5505000000000001,0.5355000000000001,0.5302,0.50945,0.506
Incoherentes,0.4144999999999999,0.41775,0.4259999999999999,0.4259500000000001,0.4381500000000001,0.4392500000000001,0.4495,0.4645,0.4698,0.49055,0.494
Indiferentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tibios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
